DATE,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,12am,1am,2am,3am,4am,5am,6am
2019-11-09,x,x,x,5,9,12,16,22,21,19,12,22,18,15,9,x,x,x,x,x,x,x,x,x
2019-11-10,x,x,x,3,7,15,37,63,54,39,42,48,51,47,45,33,34,20,18,11,6,1,1,2
2019-11-11,6,25,37,72,105,92,103,132,124,113,82,72,69,76,71,67,58,N/A,15,9,5,4,2,4
2019-11-12,7,21,40,43,70,146,87,122,95,103,86,63,73,77,77,69,55,51,31,18,10,10,6,5
2019-11-13,6,53,64,78,107,123,116,118,104,97,111,85,81,78,91,94,89,78,34,17,12,8,9,7
2019-11-14,6,33,31,68,68,144,100,92,107,105,92,58,57,61,79,74,69,N/A,21,12,7,3,3,3
2019-11-15,5,19,39,70,104,88,69,N/A,N/A,N/A,N/A,9,9,13,x,x,x,x,x,x,x,x,x,x
2019-11-16,x,x,x,4,20,24,N/A,25,37,23,21,18,12,8,x,x,x,x,x,x,x,x,x,x
2019-11-17,x,x,x,5,11,33,51,57,65,72,73,62,51,48,33,30,28,28,26,6,2,2,1,1
2019-11-18,3,17,58,111,122,106,112,129,91,87,89,76,79,81,87,56,52,42,36,22,11,6,5,4
2019-11-19,10,30,38,59,68,133,70,91,88,81,103,75,83,110,110,117,85,63,41,25,11,6,4,4
2019-11-20,5,28,68,127,134,131,112,130,90,98,66,69,61,94,72,89,85,53,46,25,20,10,6,8
2019-11-21,19,33,73,52,68,141,90,63,73,67,57,41,36,45,43,47,45,39,25,17,9,4,4,3
2019-11-22,18,37,41,82,72,43,36,32,24,20,15,13,5,2,,,,,,,,,,
2019-11-23,x,x,x,2,N/A,N/A,N/A,6,5,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-11-24,x,x,x,2,5,11,7,8,11,12,7,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-11-25,0,1,1,5,5,8,11,10,8,10,7,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-11-26,0,1,1,2,5,8,10,9,7,9,9,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-11-27,0,1,2,2,6,2,4,6,9,6,,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-11-28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-11-29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-11-30,x,x,x,x,3,8,12,9,7,10,6,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-01,x,x,x,x,8,14,18,22,38,48,52,62,61,58,53,56,51,38,17,10,6,5,3,3
2019-12-02,10,16,66,104,135,114,108,131,119,121,106,82,85,91,99,93,88,79,25,17,11,7,4,4
2019-12-03,7,13,56,80,74,110,95,102,120,101,99,86,97,99,106,11,92,84,51,28,21,5,3,2
2019-12-04,8,15,53,97,86,105,117,123,141,128,119,91,98,107,115,103,99,87,55,43,18,9,8,7
2019-12-05,10,19,29,62,90,135,98,125,138,108,101,83,95,99,104,101,96,71,26,20,11,7,5,3
2019-12-06,1,11,42,50,104,138,154,157,169,134,112,116,107,110,121,73,69,60,42,33,24,11,10,6
2019-12-07,16,28,42,83,92,143,142,124,137,118,132,112,102,79,78,73,68,63,31,23,15,11,7,5
2019-12-08,8,12,22,53,87,111,123,131,135,152,130,85,110,138,110,103,97,83,50,47,31,23,10,10
2019-12-09,16,46,48,114,107,132,135,130,126,140,127,156,108,111,107,93,83,62,45,25,12,7,7,9
2019-12-10,39,55,33,65,102,85,136,147,129,137,130,124,81,93,109,85,77,70,54,36,27,20,17,17
2019-12-11,33,78,81,82,111,108,142,153,156,140,128,86,82,80,87,101,93,87,39,35,28,18,14,16
2019-12-12,46,44,43,81,85,110,128,141,149,133,88,83,54,61,64,59,44,26,20,25,20,17,11,11
2019-12-13,13,15,37,50,61,69,92,106,76,71,62,59,46,85,71,76,62,49,N/A,N/A,N/A,N/A,N/A,N/A
2019-12-14,10,16,8,12,20,18,14,6,4,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-15,x,x,x,0,0,1,2,2,1,2,3,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-16,0,2,3,4,5,3,3,8,4,3,3,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-17,0,0,2,3,8,7,5,9,10,8,8,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-18,0,1,2,4,3,3,4,7,8,3,2,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-19,0,1,0,2,4,5,4,4,4,3,2,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-20,0,0,1,1,1,1,2,3,3,3,2,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-22,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019-12-31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-01-01,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-01-02,0,0,0,0,2,2,3,3,3,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x
